"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1258","TC-M3-PLANT-API-008 - Verify GET plants by invalid category returns empty list for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","5603","TC-M3-PLANT-UI-003 - Verify filter by category functionality for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","4364","TC-M3-PLANT-UI-009 - Verify sorting on Quantity column for Admin","","2026-02-06","broken","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1225","TC-M3-PLANT-API-006 - Verify GET plants with sorting API for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1273","TC-M3-PLANT-API-010 - Verify combined filter and sort API for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","4444","TC-M3-PLANT-UI-008 - Verify sorting on Name column for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1101","TC-M3-PLANT-API-006 - Verify GET plants with sorting API for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1255","TC-M3-PLANT-API-001 - Verify GET all plants API returns complete plant list for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1348","TC-M3-PLANT-API-004 - Verify GET plant summary API for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","5641","TC-M3-PLANT-UI-002 - Verify no plants found message when search returns no results","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","4102","TC-M3-PLANT-UI-006 - Verify plant list page loads for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","6541","TC-M3-PLANT-UI-007 - Verify Reset button clears search and filter for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1386","TC-M3-PLANT-API-009 - Verify pagination boundary conditions for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1199","TC-M3-PLANT-API-002 - Verify GET plant by invalid ID returns 404","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","4470","TC-M3-PLANT-UI-002 - Verify search functionality by plant name for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1351","TC-M3-PLANT-API-005 - Verify GET plants with pagination API for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1316","TC-M3-PLANT-API-002 - Verify GET plant by ID API for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","5297","TC-M3-PLANT-UI-010 - Verify empty state message for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1276","TC-M3-PLANT-API-003 - Verify GET plants by category API for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","3770","TC-M3-PLANT-UI-001 - Verify plant list page loads for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1089","TC-M3-PLANT-API-006 - Verify GET plants with sorting API for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1075","TC-M3-PLANT-API-006 - Verify GET plants with sorting API for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management API endpoints
  So that I can ensure the API works correctly for both User and Admin roles","1356","TC-M3-PLANT-API-007 - Verify GET plant by invalid ID returns 404 for Admin","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","4050","TC-M3-PLANT-UI-004 - Verify Low stock badge display for User","","2026-02-06","passed","2026-02-06","","","",""
"As a QA tester
  I want to test the Plant Management UI functionality
  So that I can ensure the plant list page works correctly for both User and Admin roles","4656","TC-M3-PLANT-UI-005 - Verify sorting functionality on Price column for User","","2026-02-06","broken","2026-02-06","","","",""
